类别	问 句
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 建 筑 物 综 合 布 线 系 统 的 主 要 应 用 环 境 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 建 筑 物 综 合 布 线 系 统 选 取 传 输 介 质 与 结 构 的 依 据 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 建 筑 物 综 合 布 线 系 统 的 主 要 特 点 。
顺序类	请 按 应 用 范 围 由 低 至 高 的 顺 序 依 次 写 出 智 能 大 楼 布 线 系 统 可 连 接 的 设 备 类 型 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 智 能 大 楼 布 线 系 统 需 要 使 用 的 产 品 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 工 业 布 线 系 统 的 主 要 特 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 工 业 布 线 传 输 介 质 的 优 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 互 连 的 具 体 内 容 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 互 连 的 功 能 。
顺序类	请 按 覆 盖 范 围 由 小 至 大 的 顺 序 依 次 写 出 网 络 互 连 的 类 型 。
顺序类	请 按 由 低 至 高 的 顺 序 依 次 写 出 网 络 互 连 的 层 次 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 网 桥 在 数 据 链 路 层 互 连 中 起 到 的 作 用 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 网 络 层 互 连 的 作 用 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 互 连 的 要 求 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 的 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 互 连 要 解 决 的 基 本 问 题 。
顺序类	请 按 由 低 至 高 的 层 次 顺 序 依 次 写 出 网 络 互 连 的 设 备 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 中 继 器 的 作 用 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 透 明 网 桥 的 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 源 路 由 网 桥 的 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 路 由 器 的 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 路 由 器 的 功 能 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 第 三 层 交 换 机 的 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 关 的 特 性 。
顺序类	请 按 功 能 由 大 至 小 的 顺 序 依 次 写 出 网 关 的 类 型 。
顺序类	请 按 应 用 范 围 由 低 至 高 的 顺 序 依 次 写 出 常 用 的 网 关 类 型 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 半 网 关 的 最 大 优 点 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 网 络 操 作 系 统 的 作 用 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 单 机 操 作 系 统 管 理 的 计 算 机 操 作 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 单 机 操 作 系 统 的 主 要 功 能 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 D O S 的 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 W i n d o w s 的 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 O S / 2 的 特 性 。
顺序类	请 按 应 用 范 围 由 低 至 高 的 顺 序 依 次 写 出 操 作 系 统 查 找 文 件 的 方 式 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 设 备 I / O 的 类 型 。
顺序类	请 按 应 用 范 围 由 低 至 高 的 顺 序 依 次 写 出 D O S 使 用 的 设 备 驱 动 程 序 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 操 作 系 统 的 主 要 功 能 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 操 作 系 统 的 基 本 任 务 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 早 期 局 域 网 技 术 的 演 变 类 型 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 近 几 年 期 局 域 网 技 术 的 演 变 类 型 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 网 络 操 作 系 统 的 环 境 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 W i n d o w s   N T   S e r v e r 3 . 5 1 的 主 要 功 能 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 操 作 系 统 的 特 征 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 N O S 服 务 的 特 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 S M P 的 具 体 内 容 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 面 向 任 务 型 N O S 同 通 用 型 N O S 的 区 别 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 变 形 系 统 同 基 础 级 系 统 的 区 别 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 对 等 结 构 网 络 操 作 系 统 的 特 性 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 对 等 结 构 网 络 操 作 系 统 中 计 算 机 的 工 作 方 式 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 对 等 结 构 网 络 操 作 系 统 可 提 供 的 服 务 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 服 务 器 的 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 文 件 服 务 器 的 主 要 功 能 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 代 表 性 的 文 件 服 务 器 类 型 的 D O S 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 局 域 网 的 硬 件 设 备 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 流 行 的 网 络 操 作 系 统 。
顺序类	请 按 体 积 由 小 至 大 的 顺 序 依 次 写 出 局 域 网 服 务 器 的 类 型 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 局 域 网 服 务 器 的 功 能 。
顺序类	请 按 由 上 至 下 的 层 次 顺 序 依 次 写 出 局 域 网 的 组 成 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 网 络 服 务 器 采 用 的 D O S 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 客 户 端 采 用 的 D O S 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 操 作 系 统 的 基 本 功 能 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 文 件 服 务 的 工 作 原 理 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 可 操 作 打 印 服 务 的 设 备 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 打 印 服 务 的 功 能 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 网 络 打 印 服 务 的 工 作 原 理 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 网 络 数 据 库 服 务 的 工 作 原 理 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 信 息 服 务 的 应 用 领 域 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 分 布 式 目 录 服 务 的 工 作 原 理 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 管 理 服 务 的 功 能 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 W i n d o w s 的 发 展 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 W i n d o w s   N T 的 发 展 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 W i n d o w s   N T   3 . 5 对 W i n d o w s   N T   3 . 1 的 改 进 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 W i n d o w s   2 0 0 0 操 作 系 统 提 供 的 服 务 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 W i n d o w s   2 0 0 0 操 作 系 统 的 特 点 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 W i n d o w s   N T 操 作 系 统 的 应 用 环 境 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 W i n d o w s   N T 操 作 系 统 的 改 进 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 域 模 式 最 大 的 好 处 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 运 行 W i n d o w s   N T   S e r v e r 操 作 系 统 的 计 算 机 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 主 域 控 制 器 同 后 备 域 控 制 器 的 区 别 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 W i n d o w s   N T   S e r v e r 操 作 系 统 的 主 要 特 点 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 W i n d o w s   N T   S e r v e r 内 置 的 标 准 网 络 协 议 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 内 置 管 理 的 具 体 内 容 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 用 户 工 作 站 管 理 的 具 体 内 容 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 W i n d o w s   N T 的 优 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 W i n d o w s   N T   S e r v e r 的 设 计 亮 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 W i n d o w s   2 0 0 0 对 W i n d o w s   N T 操 作 系 统 的 改 进 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 W i n d o w s   2 0 0 0 网 络 环 境 的 优 点 。
顺序类	请 按 应 用 范 围 由 低 至 高 的 顺 序 依 次 写 出 W i n d o w s   2 0 0 0 系 列 平 台 软 件 的 版 本 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 W i n d o w s   2 0 0 0   S e r v e r 的 特 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 活 动 目 录 服 务 功 能 的 作 用 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 活 动 目 录 对 域 执 行 的 操 作 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 组 织 单 元 的 具 体 内 容 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 分 级 管 理 的 实 现 原 理 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 N e t W a r e 操 作 系 统 中 具 有 代 表 性 的 产 品 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 N e t W a r e 操 作 系 统 的 组 成 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 文 件 服 务 器 内 核 的 作 用 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 服 务 器 软 件 的 功 能 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 N e t W a r e 文 件 系 统 采 用 的 高 效 访 问 硬 盘 机 制 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 N e t W a r e 文 件 系 统 对 文 件 执 行 的 操 作 。
顺序类	请 按 路 径 由 前 至 后 的 顺 序 依 次 写 出 N e t W a r e 文 件 系 统 的 结 构 层 次 。
顺序类	请 按 权 限 由 大 至 小 的 顺 序 依 次 写 出 N e t W a r e 的 用 户 类 型 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 管 理 员 的 作 用 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 管 理 员 的 任 务 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 操 作 员 的 类 型 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 N e t W a r e 安 全 机 制 要 解 决 的 问 题 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 N e t W a r e 操 作 系 统 的 4 级 安 全 保 密 机 制 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 N e t W a r e 操 作 系 统 的 容 错 技 术 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 N e t W a r e 第 一 级 系 统 容 错 的 原 理 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 N e t W a r e 第 二 级 系 统 容 错 的 原 理 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 N e t W a r e 的 优 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 N e t W a r e 的 缺 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 I n t r a n e t   W a r e 操 作 系 统 的 主 要 特 点 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 采 用 L i n u x 操 作 系 统 的 应 用 服 务 器 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 L i n u x 的 特 点 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 国 外 发 行 的 L i n u x 版 本 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 国 内 发 行 的 L i n u x 版 本 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 采 用 R e d   H a t   E n t e r p r i s e   L i n u x 的 家 族 成 员 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 S l a c k w a r e 惯 有 的 传 统 特 色 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 S l a c k w a r e   1 0 . 1 的 桌 面 环 境 版 本 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 U N I X 网 络 操 作 系 统 的 特 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 M u l t i c s 系 统 的 特 点 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 U N I X 网 络 操 作 系 统 的 版 本 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 各 大 公 司 使 用 的 U N I X 系 统 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 进 程 控 制 子 系 统 的 功 能 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 U N I X 系 统 的 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 采 用 C 语 言 编 写 的 系 统 的 优 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 采 用 汇 编 语 言 编 写 的 系 统 的 缺 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 采 用 系 统 调 用 的 优 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 采 用 树 形 文 件 系 统 的 优 点 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 U N I X 系 统 的 通 信 机 制 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 几 种 典 型 的 U N I X 系 统 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 S o l a r i s 系 列 产 品 的 优 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 S o l a r i s 系 列 产 品 的 应 用 领 域 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 S o l a r i s 系 列 产 品 的 服 务 器 软 件 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 E n t e r p r i s e   S e r v e r 的 应 用 领 域 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 采 用 I S P   S e r v e r 服 务 器 软 件 提 供 的 服 务 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 H P - U X 的 主 要 特 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 因 特 网 的 作 用 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 因 特 网 信 息 资 源 涉 及 的 领 域 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 因 特 网 提 供 的 通 信 服 务 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 因 特 网 的 标 准 定 义 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 因 特 网 的 简 化 定 义 。
顺序类	请 按 网 络 复 杂 度 由 高 至 低 的 顺 序 依 次 写 出 因 特 网 的 定 义 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 因 特 网 的 定 义 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 因 特 网 的 硬 件 组 成 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 因 特 网 提 供 的 服 务 种 类 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 用 户 通 过 各 类 服 务 可 实 现 的 功 能 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 因 特 网 中 的 信 息 资 源 类 型 。
